REF.,DESCRIÇÃO,Grupo,Sub Grupo,Marca/ Fornec,Cor,Tamanho,Un,CUSTO,Unitário,ETIQ.,TIPO,,,,STATUS_DOWNLOAD,QTD_IMAGENS
1119,PLUG ANAL ACO TAM. M,SEXSHOP,PLUG,,,,Un,"R$9,88"," R$ 40,00 ", SIM, ADESIVA,,,,OK,5
1120,CREME MASSAGEM DESLIZANTE,SEXSHOP,SEX/ COSM,,,,Un,"R$15,41"," R$ 50,00 ", SIM, ADESIVA,,,,OK,5
1121,VIBRADOR PONTO G GOLFINHO,SEXSHOP,VIBRADOR,,,,Un,"R$4,17"," R$ 25,00 ", SIM, ADESIVA,,,,OK,5
1122,PERFUME CAPILAR,SEXSHOP,SEX/ COSM,,,,Un,"R$11,83"," R$ 40,00 ", SIM, ADESIVA,,,,OK,5
1123,VIBRADOR PERSONAL,SEXSHOP,VIBRADOR,,,,Un,"R$11,38"," R$ 40,00 ", SIM, ADESIVA,,,,OK,5
1124,MASTURBADOR FUNNY EGG,SEXSHOP,Masturbador,,,,Un,"R$8,22"," R$ 30,00 ", SIM, ADESIVA,,,,OK,5
1125,PENIS VIBRADOR,SEXSHOP,PENIS VIBRO,,,,Un,"R$20,01"," R$ 80,00 ", SIM, ADESIVA,,,,OK,5
1128,ESTIMULADOR CLITORIS URSO,SEXSHOP,VIBRADOR,,,,Un,"R$17,70"," R$ 65,00 ", SIM, ADESIVA,,,,OK,5
1129,VOLUMAO GEL,SEXSHOP,SEX/ COSM,Hot Flowers,PADRÃO,PADRÃO,Un,"R$11,00"," R$ 45,00 ", SIM, ADESIVA,,,,OK,5
1130,CREME CONFORTO,SEXSHOP,SEX/ COSM,Hot Flowers,PADRÃO,PADRÃO,Un,"R$5,00"," R$ 20,00 ", NÃO,,,,,OK,5
1139,MASTURBADOR EGG,SEXSHOP,MASTURBADOR,,PADRÃO,PADRÃO,Un,"R$6,50"," R$ 25,00 ", SIM,,,,,OK,5
1141,LENCOL 3 PCS - KING SIZE ALGODAO,ENXOVAL,CAMA,Campestre,PADRÃO,PADRÃO,3 Pçs,"R$62,00"," R$ 180,00 ", SIM, ADESIVA,,,,OK,5
1142,TOALHA MESA 8 CAD,ENXOVAL,MESA,Campestre,ESTAMPADO,PADRÃO,Un,"R$20,80"," R$ 60,00 ", SIM , TAG,,,,OK,5
1143,BERMUDA JEANS MASC,VESTUARIO,VEST/MASC,Campestre,PADRÃO,38/40/42/44/48,Un,"R$30,00"," R$ 90,00 ", SIM,  TAG,,,,OK,5
1144,"CORTINA BLACKOUT 2,7X1,8",ENXOVAL,DECORAÇÃO,Campestre,PADRÃO ,PADRÃO,Un,"R$69,00"," R$ 200,00 ", SIM , ADESIVA,,,,OK,5
1145,JG COZINHA SISAL 3PCS,ENXOVAL,TAPETE,Sultan,PADRÃO,PADRÃO,Jg,"R$90,68"," R$ 270,00 ", SIM , TAG,,,,OK,5
1146,TAPETE SISAL 80X50CM,ENXOVAL,TAPETE,Sultan,PADRÃO,PADRÃO,Un,"R$18,98"," R$ 57,00 ", SIM , TAG,,,,OK,5
1147,"PASSADEIRA 0,66X1,8M",ENXOVAL,TAPETE,Sultan,PADRÃO,PADRÃO,Un,"R$46,97"," R$ 140,00 ", SIM , TAG,,,,OK,5
1148,"PASSADEIRA SISAL 66X1,80M",ENXOVAL,TAPETE,Sultan,PADRÃO,PADRÃO,Un,"R$55,28"," R$ 165,00 ", SIM , TAG,,,,OK,5
